province,confirmed,date
,,
충북,0,2020-07-26
,,
강원,0,2020-07-26
,,
경기,7,2020-07-26
,,
세종,0,2020-07-26
,,
울산,0,2020-07-26
,,
대전,0,2020-07-26
,,
광주,1,2020-07-26
,,
인천,0,2020-07-26
,,
대구,0,2020-07-26
,,
부산,1,2020-07-26
,,
서울,7,2020-07-26
,,
합계,58,2020-07-26
,,
검역,81,2020-07-25
,,
제주,0,2020-07-25
,,
경남,0,2020-07-25
,,
경북,0,2020-07-25
,,
전남,1,2020-07-25
,,
전북,0,2020-07-25
,,
충남,0,2020-07-25
,,
충북,0,2020-07-25
,,
강원,0,2020-07-25
,,
경기,14,2020-07-25
,,
세종,0,2020-07-25
,,
울산,1,2020-07-25
,,
대전,0,2020-07-25
,,
광주,0,2020-07-25
,,
인천,0,2020-07-25
,,
대구,0,2020-07-25
,,
부산,5,2020-07-25
,,
서울,11,2020-07-25
,,
합계,113,2020-07-25
,,
검역,3,2020-07-24
,,
제주,0,2020-07-24
,,
경남,2,2020-07-24
,,
경북,1,2020-07-24
,,
전남,0,2020-07-24
,,
전북,0,2020-07-24
,,
충남,0,2020-07-24
,,
충북,0,2020-07-24
,,
강원,0,2020-07-24
,,
경기,8,2020-07-24
,,
세종,0,2020-07-24
,,
울산,0,2020-07-24
,,
대전,0,2020-07-24
,,
광주,2,2020-07-24
,,
인천,0,2020-07-24
,,
대구,2,2020-07-24
,,
부산,2,2020-07-24
,,
서울,21,2020-07-24
,,
합계,41,2020-07-24
,,
검역,5,2020-07-23
,,
제주,0,2020-07-23
,,
경남,0,2020-07-23
,,
경북,0,2020-07-23
,,
전남,0,2020-07-23
,,
전북,0,2020-07-23
,,
충남,0,2020-07-23
,,
충북,0,2020-07-23
,,
강원,0,2020-07-23
,,
경기,28,2020-07-23
,,
세종,0,2020-07-23
,,
울산,0,2020-07-23
,,
대전,0,2020-07-23
,,
광주,9,2020-07-23
,,
인천,3,2020-07-23
,,
대구,0,2020-07-23
,,
부산,2,2020-07-23
,,
서울,12,2020-07-23
,,
합계,59,2020-07-23
,,
검역,19,2020-07-22
,,
제주,0,2020-07-22
,,
경남,1,2020-07-22
,,
경북,0,2020-07-22
,,
전남,0,2020-07-22
,,
전북,0,2020-07-22
,,
충남,1,2020-07-22
,,
충북,1,2020-07-22
,,
강원,0,2020-07-22
,,
경기,15,2020-07-22
,,
세종,0,2020-07-22
,,
울산,0,2020-07-22
,,
대전,0,2020-07-22
,,
광주,4,2020-07-22
,,
인천,5,2020-07-22
,,
대구,1,2020-07-22
,,
부산,0,2020-07-22
,,
서울,16,2020-07-22
,,
합계,63,2020-07-22
,,
검역,18,2020-07-21
,,
제주,1,2020-07-21
,,
경남,0,2020-07-21
,,
경북,1,2020-07-21
,,
전남,0,2020-07-21
,,
전북,0,2020-07-21
,,
충남,0,2020-07-21
,,
충북,0,2020-07-21
,,
강원,0,2020-07-21
,,
경기,2,2020-07-21
,,
세종,0,2020-07-21
,,
울산,0,2020-07-21
,,
대전,0,2020-07-21
,,
광주,0,2020-07-21
,,
인천,0,2020-07-21
,,
대구,2,2020-07-21
,,
부산,0,2020-07-21
,,
서울,21,2020-07-21
,,
합계,45,2020-07-21
,,
검역,10,2020-07-20
,,
제주,0,2020-07-20
,,
경남,2,2020-07-20
,,
경북,1,2020-07-20
,,
전남,2,2020-07-20
,,
전북,1,2020-07-20
,,
충남,1,2020-07-20
,,
충북,0,2020-07-20
,,
강원,0,2020-07-20
,,
경기,1,2020-07-20
,,
세종,0,2020-07-20
,,
울산,0,2020-07-20
,,
대전,0,2020-07-20
,,
광주,1,2020-07-20
,,
인천,2,2020-07-20
,,
대구,2,2020-07-20
,,
부산,0,2020-07-20
,,
서울,3,2020-07-20
,,
합계,26,2020-07-20
,,
검역,7,2020-07-19
,,
제주,1,2020-07-19
,,
경남,0,2020-07-19
,,
경북,0,2020-07-19
,,
전남,0,2020-07-19
,,
전북,0,2020-07-19
,,
충남,0,2020-07-19
,,
충북,0,2020-07-19
,,
강원,0,2020-07-19
,,
경기,4,2020-07-19
,,
세종,0,2020-07-19
,,
울산,0,2020-07-19
,,
대전,1,2020-07-19
,,
광주,10,2020-07-19
,,
인천,1,2020-07-19
,,
대구,0,2020-07-19
,,
부산,0,2020-07-19
,,
서울,10,2020-07-19
,,
합계,34,2020-07-19
,,
검역,12,2020-07-18
,,
제주,1,2020-07-18
,,
경남,2,2020-07-18
,,
