ages,confirmed,date
40-49,1584,2020-06-14
50-59,2170,2020-06-14
60-69,1546,2020-06-14
70-79,797,2020-06-14
80-,531,2020-06-14
0-9,168,2020-06-13
10-19,681,2020-06-13
20-29,3243,2020-06-13
30-39,1354,2020-06-13
40-49,1578,2020-06-13
50-59,2163,2020-06-13
60-69,1538,2020-06-13
70-79,796,2020-06-13
80-,530,2020-06-13
0-9,168,2020-06-12
10-19,677,2020-06-12
20-29,3223,2020-06-12
30-39,1345,2020-06-12
40-49,1574,2020-06-12
50-59,2137,2020-06-12
60-69,1517,2020-06-12
70-79,787,2020-06-12
80-,519,2020-06-12
0-9,168,2020-06-11
10-19,677,2020-06-11
20-29,3223,2020-06-11
30-39,1345,2020-06-11
40-49,1574,2020-06-11
50-59,2137,2020-06-11
60-69,1517,2020-06-11
70-79,787,2020-06-11
80-,519,2020-06-11
0-9,167,2020-06-10
10-19,674,2020-06-10
20-29,3217,2020-06-10
30-39,1335,2020-06-10
40-49,1569,2020-06-10
50-59,2128,2020-06-10
60-69,1512,2020-06-10
70-79,782,2020-06-10
80-,518,2020-06-10
0-9,166,2020-06-09
10-19,672,2020-06-09
20-29,3211,2020-06-09
30-39,1326,2020-06-09
40-49,1568,2020-06-09
50-59,2121,2020-06-09
60-69,1496,2020-06-09
70-79,775,2020-06-09
80-,517,2020-06-09
0-9,166,2020-06-08
10-19,672,2020-06-08
20-29,3208,2020-06-08
30-39,1324,2020-06-08
40-49,1564,2020-06-08
50-59,2111,2020-06-08
60-69,1487,2020-06-08
70-79,770,2020-06-08
80-,512,2020-06-08
0-9,165,2020-06-07
10-19,670,2020-06-07
20-29,3203,2020-06-07
30-39,1322,2020-06-07
40-49,1559,2020-06-07
50-59,2105,2020-06-07
60-69,1476,2020-06-07
70-79,767,2020-06-07
80-,509,2020-06-07
0-9,164,2020-06-06
10-19,664,2020-06-06
20-29,3200,2020-06-06
30-39,1316,2020-06-06
40-49,1551,2020-06-06
50-59,2094,2020-06-06
60-69,1464,2020-06-06
70-79,759,2020-06-06
80-,507,2020-06-06
0-9,161,2020-06-05
10-19,663,2020-06-05
20-29,3198,2020-06-05
30-39,1310,2020-06-05
40-49,1540,2020-06-05
50-59,2086,2020-06-05
60-69,1455,2020-06-05
70-79,751,2020-06-05
80-,504,2020-06-05
0-9,160,2020-06-04
10-19,661,2020-06-04
20-29,3193,2020-06-04
30-39,1308,2020-06-04
40-49,1537,2020-06-04
50-59,2079,2020-06-04
60-69,1445,2020-06-04
70-79,744,2020-06-04
80-,502,2020-06-04
0-9,159,2020-06-03
10-19,661,2020-06-03
20-29,3188,2020-06-03
30-39,1305,2020-06-03
40-49,1534,2020-06-03
50-59,2070,2020-06-03
60-69,1436,2020-06-03
70-79,738,2020-06-03
80-,499,2020-06-03
0-9,158,2020-06-02
10-19,659,2020-06-02
20-29,3183,2020-06-02
30-39,1299,2020-06-02
40-49,1529,2020-06-02
50-59,2061,2020-06-02
60-69,1421,2020-06-02
70-79,732,2020-06-02
80-,499,2020-06-02
0-9,157,2020-05-31
10-19,655,2020-05-31
20-29,3176,2020-05-31
30-39,1292,2020-05-31
40-49,1521,2020-05-31
50-59,2039,2020-05-31
60-69,1405,2020-05-31
70-79,725,2020-05-31
80-,498,2020-05-31
0-9,157,2020-05-30
10-19,655,2020-05-30
20-29,3167,2020-05-30
30-39,1285,2020-05-30
40-49,1517,2020-05-30
50-59,2033,2020-05-30
60-69,1404,2020-05-30
70-79,725,2020-05-30
80-,498,2020-05-30
0-9,156,2020-05-29
10-19,650,2020-05-29
20-29,3158,2020-05-29
30-39,1283,2020-05-29
40-49,1513,2020-05-29
50-59,2023,2020-05-29
60-69,1400,2020-05-29
70-79,724,2020-05-29
80-,495,2020-05-29
0-9,155,2020-05-28
10-19,644,2020-05-28
20-29,3146,2020-05-28
30-39,1274,2020-05-28
40-49,1503,2020-05-28
50-59,2014,2020-05-28
60-69,1392,2020-05-28
70-79,724,2020-05-28
80-,492,2020-05-28
0-9,153,2020-05-27
10-19,640,2020-05-27
20-29,3131,2020-05-27
30-39,1248,2020-05-27
40-49,1489,2020-05-27
50-59,2002,2020-05-27
60-69,1386,2020-05-27
70-79,724,2020-05-27
80-,492,2020-05-27
0-9,150,2020-05-26
10-19,638,2020-05-26
20-29,3123,2020-05-26
30-39,1242,2020-05-26
40-49,1486,2020-05-26
50-59,1996,2020-05-26
60-69,1378,2020-05-26
70-79,721,2020-05-26
80-,491,2020-05-26
0-9,149,2020-05-25
10-19,637,2020-05-25
20-29,3120,2020-05-25
30-39,1238,2020-05-25
40-49,1483,2020-05-25
50-59,1992,2020-05-25
60-69,1377,2020-05-25
70-79,719,2020-05-25
80-,491,2020-05-25
0-9,149,2020-05-24
10-19,636,2020-05-24
20-29,3117,2020-05-24
30-39,1235,2020-05-24
40-49,1481,2020-05-24
50-59,1987,2020-05-24
60-69,1375,2020-05-24
70-79,719,2020-05-24
80-,491,2020-05-24
0-9,149,2020-05-23
10-19,634,2020-05-23
20-29,3113,2020-05-23
30-39,1231,2020-05-23
40-49,1474,2020-05-23
50-59,1983,2020-05-23
60-69,1372,2020-05-23
70-79,718,2020-05-23
80-,491,2020-05-23
0-9,148,2020-05-21
10-19,631,2020-05-21
20-29,3103,2020-05-21
30-39,1221,2020-05-21
40-49,1471,2020-05-21
50-59,1972,2020-05-21
60-69,1369,2020-05-21
70-79,717,2020-05-21
80-,490,2020-05-21
0-9,148,2020-05-20
10-19,627,2020-05-20
20-29,3100,2020-05-20
30-39,1219,2020-05-20
40-49,1468,2020-05-20
50-59,1972,2020-05-20
